PORTFOLIO_ID,CLIENT_ID,PORTFOLIO_NAME,BASE_CURRENCY,INCEPTION_DATE,STATUS
20001,1001,Core Growth,USD,2024-05-19,Active
20002,1001,Tech Momentum,USD,2024-01-24,Active
20003,1002,Retirement,AED,2023-09-18,Active
20004,1003,Income,EUR,2024-09-23,Active
20005,1004,High Risk Trading,USD,2023-12-13,Active
20006,1005,Long Term,USD,2024-09-11,Active
20007,1006,Dividend Focus,USD,2024-08-11,Active
20008,1007,AI Bets,USD,2024-02-15,Active
20009,1008,ETF Core,USD,2024-01-11,Active
20010,1009,Global Value,EUR,2023-08-16,Active
20011,1010,Crypto Sleeve,USD,2023-11-02,Active
20012,1002,US Growth,USD,2023-11-30,Active
20013,1003,Bond Ladder,AED,2024-06-11,Active
20014,1005,Swing Trades,USD,2024-03-18,Active
20015,1008,Emerging Markets,USD,2024-07-12,Closed
